long,lat
181.62,-20.42
181.03,-20.62
184.1,-26.0
181.66,-17.97
181.96,-20.42
184.31,-19.68
166.1,-11.7
181.93,-28.11
181.74,-28.74
179.59,-17.47
180.69,-21.44
167.0,-12.26
182.11,-18.54
181.66,-21.0
169.92,-20.7
184.95,-15.94
165.96,-13.64
181.5,-17.83
179.78,-23.5
180.31,-22.63
181.16,-20.84
166.32,-10.98
180.16,-23.3
182.0,-30.2
180.28,-19.66
181.49,-17.94
167.51,-14.72
180.79,-16.46
181.47,-20.97
182.37,-19.84
179.24,-22.58
166.74,-16.32
185.05,-15.55
180.8,-23.55
186.0,-16.3
179.33,-25.82
169.23,-18.73
181.28,-17.64
181.4,-17.66
169.33,-18.82
176.78,-37.37
186.1,-15.31
179.82,-24.97
186.04,-15.49
169.41,-19.23
182.3,-30.1
181.7,-26.4
166.32,-11.77
180.08,-24.12
185.25,-18.97
182.35,-18.75
184.42,-19.26
173.2,-22.75
180.67,-21.37
182.16,-20.1
182.13,-19.85
181.0,-22.7
180.6,-22.06
181.35,-17.8
179.2,-24.2
181.55,-20.69
182.4,-21.16
172.38,-13.82
166.22,-11.49
181.41,-20.68
184.93,-17.1
181.6,-20.14
179.62,-21.96
181.86,-20.42
187.81,-15.46
185.8,-15.31
184.35,-19.86
166.2,-11.55
179.99,-23.74
181.23,-17.7
180.04,-23.54
184.7,-19.21
167.06,-12.11
181.71,-21.81
181.11,-28.98
180.21,-34.02
180.99,-23.84
182.38,-19.57
183.4,-20.12
181.7,-17.7
184.31,-19.66
170.5,-21.5
179.96,-23.64
186.3,-15.43
186.44,-15.41
167.53,-15.48
167.06,-13.36
182.02,-20.64
169.71,-19.72
185.26,-15.44
182.4,-19.73
181.11,-27.24
183.41,-18.16
166.54,-13.66
179.92,-24.57
185.61,-16.98
178.41,-26.2
180.39,-21.88
181.6,-33.0
180.69,-21.33
183.5,-19.44
180.6,-34.89
169.49,-20.24
185.9,-22.55
177.81,-36.95
185.23,-15.75
182.31,-16.85
182.45,-19.06
178.3,-26.11
178.35,-26.2
178.31,-26.13
172.23,-13.66
172.29,-13.47
167.4,-14.6
169.48,-18.96
166.97,-14.65
178.9,-19.9
180.4,-22.05
182.43,-19.22
180.6,-31.24
167.89,-17.93
183.84,-19.3
178.57,-26.53
181.7,-27.72
183.51,-19.19
185.43,-17.43
181.22,-17.05
168.98,-19.52
180.3,-23.71
180.82,-21.3
168.02,-16.24
187.32,-16.14
182.8,-23.95
182.6,-25.2
184.16,-18.84
169.46,-12.66
181.4,-20.65
167.1,-13.23
181.43,-29.91
173.5,-14.31
184.4,-20.1
185.17,-17.8
173.49,-21.27
180.17,-23.58
181.5,-17.9
184.5,-23.34
167.62,-15.56
182.56,-23.83
165.8,-11.8
167.68,-15.54
181.32,-20.65
166.07,-11.75
180.0,-24.81
169.84,-20.9
166.24,-11.34
180.5,-17.98
179.52,-24.34
167.16,-13.86
180.2,-35.56
179.9,-35.48
179.43,-34.2
182.12,-26.0
183.84,-19.89
180.0,-23.43
169.42,-18.89
181.83,-17.82
180.34,-25.68
180.9,-20.2
184.68,-15.2
182.29,-15.03
180.2,-32.22
180.64,-22.64
185.16,-17.42
181.48,-17.84
184.24,-15.02
181.75,-18.04
183.5,-24.6
184.3,-19.88
183.0,-20.3
181.85,-20.45
187.09,-17.67
181.9,-22.3
181.85,-19.85
179.88,-24.27
185.13,-15.85
184.09,-20.02
169.31,-18.56
182.0,-17.87
179.5,-24.08
179.61,-32.2
181.19,-20.36
182.53,-23.85
182.75,-24.0
181.74,-20.41
180.3,-17.72
182.18,-19.67
182.2,-17.7
183.59,-16.23
183.35,-26.72
169.09,-12.95
182.32,-21.97
180.54,-21.96
181.69,-20.32
180.62,-30.28
182.3,-20.2
180.13,-30.66
184.1,-16.17
181.71,-28.25
185.68,-20.47
180.27,-23.55
181.58,-20.94
182.4,-26.67
181.52,-18.13
183.83,-20.21
182.39,-18.31
185.7,-16.52
171.65,-22.36
184.48,-22.43
182.1,-20.37
180.16,-23.77
166.66,-13.65
182.9,-21.55
185.75,-16.24
182.53,-23.73
171.52,-22.34
180.94,-19.4
180.81,-24.64
182.82,-16.0
185.35,-19.62
180.13,-23.84
179.93,-23.54
182.68,-28.23
180.63,-21.68
166.53,-13.44
180.22,-24.96
182.74,-20.08
182.84,-24.36
166.0,-14.7
183.68,-18.2
185.51,-16.65
181.67,-18.11
181.65,-17.95
186.9,-15.5
180.01,-23.36
169.5,-19.15
166.26,-10.97
167.24,-14.85
181.38,-17.8
170.4,-22.5
182.1,-29.1
180.88,-20.32
184.89,-16.09
169.33,-19.18
179.36,-23.81
179.89,-23.79
184.23,-19.02
181.51,-20.9
169.01,-19.06
181.47,-17.88
183.05,-19.41
184.2,-26.17
167.24,-14.95
168.8,-18.73
182.37,-20.21
180.85,-21.29
181.41,-19.76
180.38,-22.09
179.9,-23.8
181.99,-20.16
180.38,-22.13
181.4,-17.44
180.18,-23.33
179.22,-24.78
180.52,-22.0
182.51,-19.13
180.1,-30.72
180.54,-22.32
177.77,-16.45
185.0,-17.7
184.68,-17.95
179.85,-24.4
180.6,-19.3
185.32,-21.13
181.57,-18.07
182.28,-20.6
181.49,-18.48
166.2,-13.34
181.5,-20.92
179.69,-25.31
186.21,-15.24
185.86,-16.4
178.4,-24.57
181.51,-17.94
181.2,-30.64
169.32,-18.64
169.28,-13.09
184.14,-19.68
185.74,-16.44
181.38,-21.09
171.39,-14.99
179.7,-23.3
181.36,-17.68
180.53,-22.0
181.39,-21.38
181.5,-32.62
169.58,-13.05
169.63,-12.93
181.91,-18.6
181.41,-21.34
183.78,-21.48
181.02,-17.4
181.03,-17.32
169.24,-18.77
179.5,-26.16
167.1,-12.59
